Id,Type,Code,Name,Status,IsPrgCreatedDate,IsPrgUpdatedDate,IsPrgCreatedUserId,IsPrgUpdatedUserId
1,NULL,NULL,Kg,1,2016-12-22 16:42:48.340,2017-02-21 15:52:23.807,1,1
2,NULL,NULL,bao,1,2017-01-14 19:27:19.150,NULL,1,NULL
3,NULL,NULL,thùng,1,2017-02-19 11:55:59.700,NULL,3,NULL
4,NULL,NULL,xâu,1,2017-02-19 11:59:16.783,NULL,3,NULL
5,NULL,NULL,can,1,2017-02-19 11:59:33.593,NULL,3,NULL
6,NULL,NULL,phong bì,1,2017-02-19 11:59:51.303,NULL,3,NULL
7,NULL,NULL,kiện,1,2017-02-19 12:00:23.603,NULL,3,NULL
8,NULL,NULL,thùng cồn,1,2017-02-19 12:00:39.180,NULL,3,NULL
9,NULL,NULL,thùng bột sơn,1,2017-02-19 12:00:50.723,NULL,3,NULL
10,NULL,NULL,thùng thái phong,1,2017-02-19 12:01:03.833,NULL,3,NULL
11,NULL,NULL,thùng vuông,1,2017-02-19 12:01:27.810,NULL,3,NULL
12,NULL,NULL,thùng tròn,1,2017-02-19 12:01:36.450,NULL,3,NULL
13,NULL,NULL,kiện gỗ,1,2017-02-19 12:01:54.237,NULL,3,NULL
14,NULL,NULL,đôi,1,2017-02-19 12:02:09.307,NULL,3,NULL
15,NULL,NULL,thùng trung,1,2017-02-19 12:02:22.300,NULL,3,NULL
16,NULL,NULL,thùng lớn,1,2017-02-19 12:02:31.230,NULL,3,NULL
17,NULL,NULL,thùng nhỏ,1,2017-02-19 12:02:40.273,NULL,3,NULL
18,NULL,NULL,kiện giấy,1,2017-02-19 12:02:51.877,NULL,3,NULL
19,NULL,NULL,kiện vỏ bao,1,2017-02-19 12:03:00.650,NULL,3,NULL
20,NULL,NULL,cây decal,1,2017-02-19 12:04:23.167,NULL,3,NULL
21,NULL,NULL,hộp decal nhỏ,1,2017-02-19 12:04:37.830,NULL,3,NULL
22,NULL,NULL,hộp decal lớn,1,2017-02-19 12:05:03.783,NULL,3,NULL
23,NULL,NULL,cái mặt bàn,1,2017-02-19 12:05:20.110,NULL,3,NULL
24,NULL,NULL,bao kéo,1,2017-02-19 12:05:45.583,NULL,3,NULL
25,NULL,NULL,thùng dây treo,1,2017-02-19 12:05:56.200,NULL,3,NULL
26,NULL,NULL,bao len,1,2017-02-19 12:06:02.683,NULL,3,NULL
27,NULL,NULL,cây tapi nhỏ,1,2017-02-19 12:06:14.257,NULL,3,NULL
28,NULL,NULL,cây tapi lớn,1,2017-02-19 12:06:25.563,NULL,3,NULL
29,NULL,NULL,kiện chân,1,2017-02-19 12:06:55.953,NULL,3,NULL
30,NULL,NULL,thùng phấn,1,2017-02-19 12:07:08.997,NULL,3,NULL
31,NULL,NULL,thùng lưỡi lam,1,2017-02-19 12:07:20.357,NULL,3,NULL
32,NULL,NULL,thùng bình xịt,1,2017-02-19 12:07:36.490,NULL,3,NULL
33,NULL,NULL,thùng kim nhỏ,1,2017-02-19 12:07:45.703,NULL,3,NULL
34,NULL,NULL,thùng kim lớn,1,2017-02-19 12:07:57.450,NULL,3,NULL
35,NULL,NULL,bao dây đai,1,2017-02-19 12:08:13.030,NULL,3,NULL
36,NULL,NULL,thùng xốp,1,2017-02-19 12:08:51.237,NULL,3,NULL
37,NULL,NULL,thùng xốp nhỏ,1,2017-02-19 12:09:01.940,NULL,3,NULL
38,NULL,NULL,thùng xốp lớn,1,2017-02-19 12:09:13.140,NULL,3,NULL
39,NULL,NULL,kiện giấy có dây đai,1,2017-02-19 12:25:32.430,NULL,3,NULL
40,NULL,NULL,kiện lưới,1,2017-02-19 12:44:32.743,NULL,3,NULL
41,NULL,NULL,kiện kệ,1,2017-02-19 12:44:44.070,NULL,3,NULL
42,NULL,NULL,kiện sắt nhỏ,1,2017-02-19 12:44:58.317,NULL,3,NULL
43,NULL,NULL,bịch,1,2017-02-19 13:12:32.360,NULL,3,NULL
44,NULL,NULL,cái,1,2017-02-19 17:14:43.843,NULL,3,NULL
45,NULL,NULL,cuộn,1,2017-02-19 17:22:35.347,NULL,3,NULL
46,NULL,NULL,Bó,1,2017-02-24 20:39:18.017,NULL,1,NULL
47,NULL,NULL,cây,1,2017-02-25 19:43:24.647,NULL,3,NULL
48,NULL,NULL,phuy,1,2017-02-25 20:46:04.687,NULL,3,NULL
49,NULL,NULL,hộp,1,2017-02-26 12:44:38.630,NULL,3,NULL
50,NULL,NULL,giỏ can,1,2017-02-27 18:39:05.670,NULL,3,NULL
51,NULL,NULL,barrel,1,2017-03-02 15:07:25.963,NULL,3,NULL
52,NULL,NULL,Bao ghế,1,2017-03-02 16:35:15.917,NULL,3,NULL
53,NULL,NULL,m3,1,2017-03-04 20:21:39.233,NULL,3,NULL
54,NULL,NULL,xấp,1,2017-03-05 15:20:29.107,NULL,4,NULL
55,NULL,NULL,cuốn,1,2017-03-06 13:32:16.223,NULL,3,NULL
56,NULL,NULL,tấm,1,2017-03-07 21:35:42.957,NULL,3,NULL
57,NULL,NULL,cục,1,2017-03-09 18:51:45.130,NULL,3,NULL
58,NULL,NULL,ghế,1,2017-03-09 19:27:46.970,NULL,3,NULL
59,NULL,NULL,ống,1,2017-03-13 19:22:25.453,NULL,4,NULL
60,NULL,NULL,con,1,2017-03-17 20:26:01.243,NULL,4,NULL
61,NULL,NULL,máy,1,2017-03-20 19:36:17.607,NULL,4,NULL
62,NULL,NULL,chai,1,2017-03-23 19:32:47.940,NULL,1,NULL
63,NULL,NULL,Giỏ,1,2017-03-23 20:31:47.987,NULL,1,NULL
64,NULL,NULL,Bìa,1,2017-03-27 19:41:20.430,NULL,4,NULL
65,NULL,NULL,Thùng bơ đậu,1,2017-04-01 10:16:16.833,NULL,5,NULL
66,NULL,NULL,kiện đen,1,2017-04-01 16:34:16.160,NULL,5,NULL
67,NULL,NULL,thùng motor,1,2017-04-01 16:35:45.363,NULL,5,NULL
68,NULL,NULL,thùng phụ kiện,1,2017-04-01 16:36:27.553,NULL,5,NULL
69,NULL,NULL,thùng phụ kiện,1,2017-04-01 16:36:55.763,NULL,5,NULL
70,NULL,NULL,Xô nhựa tròn,1,2017-04-01 20:16:17.183,NULL,5,NULL
71,NULL,NULL,thùng giấy,1,2017-04-03 16:54:46.263,NULL,5,NULL
72,NULL,NULL,Lốc,1,2017-04-14 13:19:25.257,NULL,3,NULL
73,NULL,NULL,xô,1,2017-04-16 17:36:09.073,NULL,3,NULL
74,NULL,NULL,bánh xe,1,2017-04-29 17:56:16.540,NULL,4,NULL
75,NULL,NULL,chuyến,1,2017-05-17 18:33:14.703,NULL,3,NULL
76,NULL,NULL,Lô,1,2017-06-04 17:21:29.247,NULL,5,NULL
77,NULL,NULL,chiếc,1,2017-07-08 16:48:11.867,NULL,5,NULL
