Id,Type,Code,Name,KieuSo,KieuSo1,KieuSo2,KieuSo3,KieuChu,KieuChu1,KieuChu2,KieuChu3,KieuNgay,KieuNgay1,Status,IsPrgCreatedDate,IsPrgUpdatedDate,IsPrgCreatedUserId,IsPrgUpdatedUserId
1,NULL,NULL,Áo mưa ( អាវភ្លឿង ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-10 17:04:40.417,2018-12-03 20:29:50.520,1,5
2,NULL,NULL,Bao nilong,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-14 16:03:57.563,2018-12-03 20:29:44.453,1,5
3,NULL,NULL,bao bi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-14 18:22:40.450,2018-12-03 20:29:42.050,1,5
4,NULL,NULL,bao bi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-14 18:22:51.887,2018-12-03 20:29:39.187,1,5
5,NULL,NULL,PE​ខ្មៅល្អ​ (PE đen tốt) 9x18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:06:28.827,2019-06-27 17:37:17.213,3,3
6,NULL,NULL,PE màu 50x80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:06:44.303,2018-12-03 20:29:36.450,3,5
7,NULL,NULL,HD đen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:07:01.397,NULL,3,NULL
8,NULL,NULL,HD đen gai,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:07:15.590,NULL,3,NULL
9,NULL,NULL,Quai xoài in,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:07:50.893,NULL,3,NULL
10,NULL,NULL,Quai xoài màu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:08:07.457,NULL,3,NULL
11,NULL,NULL,OPP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:08:22.360,NULL,3,NULL
12,NULL,NULL,PP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:08:29.160,NULL,3,NULL
13,NULL,NULL,PE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:08:36.903,NULL,3,NULL
14,NULL,NULL,Túi PP in voi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:08:57.647,NULL,3,NULL
15,NULL,NULL,Hai quai in,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:09:12.870,NULL,3,NULL
16,NULL,NULL,Trắng zin loại I ( ស zin I) 8x15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:09:34.207,2019-03-12 19:43:18.740,3,3
17,NULL,NULL,អាវភ្លៀងថាញឡុង (áo mưa TL),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:09:44.423,2019-06-28 10:59:26.427,3,3
18,NULL,NULL,ស្រោមដៃ (bao tay),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:10:00.823,2019-06-27 18:19:41.897,3,3
19,NULL,NULL,ខ្សែនីឡុងស​ (dây Nylon),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:10:10.560,2019-06-28 09:22:03.623,3,3
20,NULL,NULL,Cà phê Quang Cường,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:10:28.137,NULL,3,NULL
21,NULL,NULL,Cà phê Thanh Nam,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:10:35.507,NULL,3,NULL
22,NULL,NULL,Cà phê Sơn Tùng,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:10:44.817,NULL,3,NULL
23,NULL,NULL,Trắng zin(ស zin) 14x24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:17:09.737,2017-05-18 16:56:44.510,NULL,7
24,NULL,NULL,Trắng zin (ស zin)16x28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:17:37.850,2017-05-18 16:57:10.383,NULL,7
25,NULL,NULL,PE​ខ្មៅល្អ​ (PE đen tốt) 8x15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:20:48.210,2019-06-27 17:42:51.567,NULL,3
26,NULL,NULL,PE​ខ្មៅល្អ​ (PE đen tốt) 14x24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:20:57.670,2019-06-28 16:55:31.397,NULL,3
27,NULL,NULL,PEខ្មៅល្អ​ (PE đen tốt) 6x14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:21:07.680,2019-06-27 17:40:05.293,NULL,3
28,NULL,NULL,PE​ខ្មៅល្អ​ (PE đen tốt) 12x20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:21:17.833,2019-06-27 17:36:40.337,NULL,3
29,NULL,NULL,PEខ្មៅល្អ (PE đen tốt) 14x24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:21:27.277,2019-06-27 17:35:48.090,NULL,3
30,NULL,NULL,PEពណ៏zin (PE màu zin) 8x15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:21:38.430,2019-06-27 17:57:14.583,NULL,3
31,NULL,NULL,PEខ្មៅល្អ​ (PE đen tốt) 20x30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 13:22:20.190,2019-06-27 17:33:54.670,NULL,3
32,NULL,NULL,PE màu (ពណ៏ zin)6x11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 14:08:16.077,2017-05-18 16:39:31.183,3,7
33,NULL,NULL,PE màu(ពណ៏ zin) 6x14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 14:08:25.147,2017-05-18 16:40:32.713,3,7
34,NULL,NULL,PE màu(ពណ៏ zin) 8x15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 14:08:33.957,2017-05-18 16:41:09.253,3,7
35,NULL,NULL,PE màu(ពណ៏ zin) 9x18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 14:08:43.383,2017-05-18 16:41:35.760,3,7
36,NULL,NULL,PE màu(ពណ៏ zin) 12x20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2017-02-19 14:08:54.010,2017-05-18 16:42:07.963,3,7
